title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
"Bán nhà tập thể tầng 1 khu tt bưu điện ngõ 84 ngọc khánh, ba đình.","Nguyễn Công Hoan, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",97,2800.0,2,1,,Đông nam,,,,3957721
"Đầu tư chỉ từ 500tr sở hữu ngay căn hộ khách sạn 5* flamingo, (tặng kèm view biể","Xã Hoằng Trường, Huyện Hoằng Hóa, Thanh Hóa",33,1700.0,,,,,,,,3957716
Kẹt tiền bán lỗ 100tr căn 3pn vũng tàu pearl 0905189302,"Vũng Tàu Pearl, Phường Thắng Tam, Thành Phố Vũng Tàu, Bà Rịa - Vũng Tàu",93,3100.0,3,2,,Đông nam,,,,3957712
"Căn hộ vinhome grand park quận 9 chỉ 1.95tr, tặng voucher đến 200tr","Phường Long Thạnh Mỹ, Quận 9, TP HCM",30,1950.0,1,1,30,,30,30,4,3957713
"Thanh toán 160 triệu sở hữu ngay căn 33m2, sắp cất nóc hỗ trợ nh","Phường Thuận Giao, Thị Xã Thuận An, Bình Dương",33,1270.0,1,1,29,,,,,3957711
Bán căn hộ cao cấp bcons polygon dĩ an bình dương,"Bế Văn Đàn, Phường An Bình, Thị Xã Dĩ An, Bình Dương",60,2000.0,2,2,,,,,,3957708
Chỉ từ 1ty8 sở hữu căn hộ 64m2 2pn2wc ck4 lh0796119611,"Tecco Diamond, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",64,1800.0,2,2,25,,8,,,3953975
Chung cư mini ngõ quỳnh - thanh nhàn công viên tuổi trẻ gần đh bách khoa,"Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",31,620,1,1,,,,,,3888682
Chung cư mini lạc long quân ô tô đỗ cửa view hồ tây,"Quận Tây Hồ, Hà Nội",35,550,2,1,,,5,,,3670244
Chung cư mini phương liên xã đàn chỉ hơn 500 triệu full đồ,"Xã Đàn, Quận Đống Đa, Hà Nội",32,550,1,1,,,,,,3671943
Chung cư mini 280 xã đàn chỉ hơn 500 triệu full nội thất,"Xã Đàn, Quận Đống Đa, Hà Nội",45,920,2,1,,,,,,3677816
"Chung cư võng thị - tây hồ, cực đẹp, view hồ tây","Võng Thị, Quận Tây Hồ, Hà Nội",48,1100.0,2,1,,,,,,3679827
Chung cư mini lạc long quân ô tô đỗ cửa view hồ tây,"Quận Tây Hồ, Hà Nội",35,550,2,1,,,5,,,3670244
Chung cư mini phương liên xã đàn chỉ hơn 500 triệu full đồ,"Xã Đàn, Quận Đống Đa, Hà Nội",32,550,1,1,,,,,,3671943
Chung cư mini 280 xã đàn chỉ hơn 500 triệu full nội thất,"Xã Đàn, Quận Đống Đa, Hà Nội",45,920,2,1,,,,,,3677816
